day	month	year	hour	minute	second	lat	long	tweet	category	sentiment
24	8	2014	20	40	22	38.327190753118565	-122.54559811090992	RT @bgittleson: This photo is very California. #napa #earthquake http://t.co/ZChvmbR369	other_useful_information	0.0
24	8	2014	20	40	54	39.93338231827791	-121.74662006541736	Photos show earthquake devastation in Napa wine country http://t.co/cGCobSLUn5	infrastructure_and_utilities_damage	-2.0
24	8	2014	20	40	26	40.88327399547125	-123.7356291462616	RT @dekebridges: 6.0 magnitude earthquake hits northern California. http://t.co/f8JOGb8rbY Skaters finding upside to quake damage. http://t…	injured_or_dead_people	-3.0
24	8	2014	20	41	0	37.10091720750021	-119.35806081725825	RT @GavinNewsom: Wow! Just some of the the damage the #NapaQuake had on the city &amp; its historic areas http://t.co/wBXVst6VuC	infrastructure_and_utilities_damage	1.0
24	8	2014	20	40	42	34.72413453691032	-117.26805622081316	Okay, if you live in Napa Valley California, why let a little 6.0 magnitude earthquake ruin your day? http://t.co/azwgbgVm8R	other_useful_information	-2.0
24	8	2014	20	40	19	32.72899747545183	-116.92570050766642	Typical. I go to San Francisco and there's an earthquake. Happened at 3.30am, woke us up. No damage around here anyway	other_useful_information	-3.0
24	8	2014	20	40	53	39.81782922630921	-121.79726226010031	Outstanding images of Bay Area #earthquake damage by @karlmondon and @garyjreyes for @viewfinderbang http://t.co/glKd64JcuT	other_useful_information	2.0
24	8	2014	20	40	22	38.38265817065586	-120.38589664389944	RT @vickydnguyen: Meadowbrook Lane in Napa-- skaters finding upside to quake damage. Photo from #nbcbayarea photog Jeremy Carroll http://t.…	other_useful_information	-3.0
24	8	2014	20	40	25	35.455606414623105	-120.38761590159862	"RT @Frannydink: RT @McMurtrieSF: Quake causes ""big, fat mess"" at Napa's Copperfield’s Books http://t.co/vIaxplQaW5 http://t.co/8iGAZ4fboI"	injured_or_dead_people	-1.0
24	8	2014	20	40	53	36.95535757921737	-120.43986861088051	RT @Chabad: Chabad center in Napa Valley damaged by #earthquake, but rabbi quickly attends to his community. http://t.co/x31LFXqUoZ	other_useful_information	-3.0
24	8	2014	20	40	34	37.35926727687904	-122.00935390680948	RT @laura_nelson: Oh, California - this, via @vickydnguyen: Skaters find upside to #napaquake. Photo from #nbcbayarea's Jeremy Carroll http…	sympathy_and_emotional_support	0.0
24	8	2014	20	40	32	33.57500089654492	-117.45539536713792	HOT HT to explore  #ilovejackjbecause #THISISHOWWEDOVMAS #llamasup #napaquake pwrd by http://t.co/c950b2nsbd	infrastructure_and_utilities_damage	0.0
24	8	2014	20	40	38	37.34267351862717	-120.0106043657211	Watching RAW VIDEO: Skateboarders Ride Over Buckled Napa Streets http://t.co/GPI5P2x5Wz	other_useful_information	0.0
24	8	2014	20	40	29	35.098988666433925	-116.1621744976286	RT @nbcbayarea: #BREAKING All Napa Valley Unified School District schools will be closed tomorrow. http://t.co/ppkRaYb6Xs #napaquake	other_useful_information	1.0
24	8	2014	20	40	27	38.092101566835716	-121.21956246536689	RT @madirosenewman: Don't worry guys. People in Napa only care about the earthquake cause all their wine bottles broke. #sfearthquake	not_related_or_irrelevant	-2.0
24	8	2014	20	40	21	40.00321357390849	-120.39183801730972	RT @TheRyanParker: MT @vickydnguyen Meadowbrook Lane in Napa-- skaters finding upside to #earthquake damage. Photo from Jeremy Carroll http…	other_useful_information	-3.0
24	8	2014	20	40	17	39.7092796284091	-120.47963097100936	RT @earthquakesSF: A 6.1 magnitude earthquake occurred 3.73mi WSW of American Canyon, California. Details: http://t.co/TdbXdyM5U9 Map: http…	caution_and_advice	0.0
24	8	2014	20	40	48	34.209937351261054	-114.69865914984557	RT @alawine: Sharing Twitter pictures from last night #napaearthquake...(via @nelson @alawine @vinography) http://t.co/kzoMOcxqOY RT @curre…	other_useful_information	0.0
24	8	2014	20	40	30	35.121107775173265	-115.13389754525473	So sad. RT @nbcchicago: Napa Valley winery loses hundreds of bottles following Sunday's #earthquake (cont) http://t.co/LKx3PnCZ7f	infrastructure_and_utilities_damage	-2.0
24	8	2014	20	40	48	34.94303695725472	-114.97758365844092	Earthquake Strikes Napa Valley; Wineries Assess Damage (Wine Spectator): Dozens injured, buildings damaged and... http://t.co/xsS8xrPmWz	other_useful_information	-13.0
24	8	2014	20	40	24	39.67168787676571	-120.76882257610248	RT @RedCrossCRC: 2 shelters open for #napaquake: Crosswalk Cmnty Church, 2590 1st St, #NAPA &amp; Florence Douglas Cntr, 333 Amador St, #VALLEJ…	other_useful_information	0.0
24	8	2014	20	40	54	41.53704099658784	-122.08686924124537	RT @PGE4Me: Stay away from downed power lines - immediately call 911 and PG&amp;E to report at 1-800-PGE-5000. #napaquake #southnapaquake	not_related_or_irrelevant	0.0
24	8	2014	20	40	38	38.38629552089836	-119.3349396255678	RT @bgittleson: This photo is very California. #napa #earthquake http://t.co/ZChvmbR369	injured_or_dead_people	0.0
24	8	2014	20	40	17	35.676507748173385	-115.73764747692385	RT @KQEDnews: UC Berkeley's early warning system gave residents 10 seconds to prepare for the #napaquake. http://t.co/vRFhAtVOZB	injured_or_dead_people	-3.0
24	8	2014	20	40	59	36.15978340258084	-118.60065448056692	RT @cnnbrk: California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. http://t.co/S2v5wea…	other_useful_information	0.0
24	8	2014	20	40	33	33.84004941756103	-116.27649100226715	“@SteveKuzj: Wineries all across #napavalley looking like this today. #napaquake http://t.co/hfmmjeDccK” una verdadera tragedia @lolacast28	other_useful_information	2.0
24	8	2014	20	40	35	35.792707153135574	-120.91677210927944	I guess I’ll get to experience the quake area first hand next week. Hope all friends in the California area are ok. #napaquake	infrastructure_and_utilities_damage	3.0
24	8	2014	20	40	23	41.36883118419733	-122.96364965300744	RT @VisitVineyards: This looks like quite a good summary of #Napa #earthquake damage to wineries &amp; other biz - could have been lots worse h…	injured_or_dead_people	-1.0
24	8	2014	20	40	38	40.63546928361657	-122.84712656771755	RT @SJVGrapes: Wow! It'll be a real puzzle organizing that room. RT @matthiassonwine: Will be barrel pickup sticks #napaearthquake http://t…	other_useful_information	4.0
24	8	2014	20	40	31	40.651176213032606	-123.60574471988858	RT @latimes: Wineries and other businesses in Northern California's wine country assess damage after today's earthquake http://t.co/F8CZDfo…	injured_or_dead_people	-7.0
24	8	2014	20	40	38	34.89194458071293	-115.09422017206309	California winemakers cleaning up after quake - http://t.co/sSXEnGlF5d	infrastructure_and_utilities_damage	0.0
24	8	2014	20	40	57	35.535357662082966	-117.75877186001922	RT @nbcbayarea: #BREAKING All Napa Valley Unified School District schools will be closed tomorrow. http://t.co/ppkRaYb6Xs #napaquake	other_useful_information	1.0
24	8	2014	20	40	49	35.41858842823777	-119.16781668869815	"RT @nelson3748: “...earthquake in Napa...described as ""vibrant and intense, but not overly flamboyant with a clean, earthy finish.""” @JackH…"	other_useful_information	6.0
24	8	2014	20	40	31	37.87226354699561	-119.57891360776419	RT @myfoxla: Some injuries, damage, and power outages reported in 6.0 #earthquake centered 6 miles SSW of Napa. http://t.co/upYet3NeNL	sympathy_and_emotional_support	-7.0
24	8	2014	20	40	31	41.74443697383115	-121.58179079140129	RT @passantino: Napa streets turned skate park after 6.0 quake, via @vickydnguyen http://t.co/jDlJGGV7Fa	infrastructure_and_utilities_damage	0.0
24	8	2014	20	40	58	37.005522160591546	-120.39954718298564	Strong Magnitude 6 Earthquake Rocks San Francisco Bay Area « CBS San Francisco http://t.co/6Ce0dolJFN @CBSLA @KNX1070	other_useful_information	2.0
24	8	2014	20	40	36	39.54132061990583	-122.45480518600395	RT @nbcbayarea: #NapaQuake Reaction: Tweets from people near the epicenter of this morning's earthquake. http://t.co/FyHOHpUbI4 http://t.co…	other_useful_information	0.0
24	8	2014	20	40	29	40.93616799207825	-123.95733148172748	Wall-2-Wall live coverage on Napa earthquake on all but 2 stations. Truly worrisome are the jolted gas lines—undetected cracks c/b anywhere.	other_useful_information	0.0
24	8	2014	20	40	25	35.54580486906938	-117.9048278531302	True story lol #napa #earthquake #earthquake2014 #california http://t.co/3k1tZ83Ob2	other_useful_information	5.0
24	8	2014	20	40	25	38.11842618899085	-119.73138724935056	6.0 magnitude quake Shake California-Napa ?   http://t.co/oQFOgpI1Zz	injured_or_dead_people	0.0
24	8	2014	20	40	51	33.09523211419569	-116.69165490001622	RT @SFGate: #Napaquake update: More than 100 people injured, 6 of whom are in critical condition. http://t.co/24Db832o4U http://t.co/qo73jW…	caution_and_advice	-2.0
24	8	2014	20	40	17	37.57078377073846	-120.8212364581071	RT @Mullin_Around: We now have more than 100 photos of #earthquake damage from Napa: http://t.co/2t4PIFsDty Tons of coverage on @SFGate htt…	sympathy_and_emotional_support	-3.0
24	8	2014	20	40	48	40.847776402554004	-120.0847640434278	Napa Valley Earthquake: Not too shaken, just a little stirred in Sonoma County: I terrible pun, I know, but ac... http://t.co/NYOn03jyOf	other_useful_information	-3.0
